fold,test_mse,test_mae,test_r2,cazyme_test_mae,cazyme_test_r2,non_cazyme_test_mae,non_cazyme_test_r2,train_size,test_size
1,0.8391144557850906,0.6100610420587096,0.6480534684546172,0.4816612474847356,0.6390451175709224,0.6378305907781342,0.6302186110007139,6815,1704
2,0.7143077657172946,0.5639242864312363,0.6769975089469197,0.49028096944945865,0.5573042861538617,0.5798514277913209,0.680303686850241,6815,1704
3,0.727670117196786,0.5682381307693395,0.6829911074144743,0.4789820576709732,0.6414717550484048,0.5875419067499282,0.6717025566953534,6815,1704
4,0.7868235179620487,0.5828489060266654,0.6537509683164879,0.4660240969955274,0.6514567013400139,0.6081150852817937,0.6381517483612086,6815,1704
5,0.7542229781863975,0.5750572547233492,0.6551512172437604,0.513301724802651,0.5682837349752252,0.5884133757554487,0.6503760789163935,6815,1704
6,0.8070918412438948,0.5980755513362485,0.6519122748219015,0.5836326454315631,0.5266467753444969,0.6011991776668122,0.6573901059943432,6815,1704
7,0.8343434890806911,0.5948458417252148,0.6327669839429821,0.5712287896051123,0.4431444364189361,0.5999535981794555,0.6424913204075988,6815,1704
8,0.7289044386673186,0.5811431163189457,0.6711537009757038,0.48203246349080114,0.6856184515457515,0.6025781825622917,0.6539097442141731,6815,1704
9,0.7890043994588919,0.6033456911839554,0.66317937721109,0.4116159003159036,0.6674476971543032,0.644811877217517,0.6452375382963895,6815,1704
10,0.7927411890315592,0.5904771797608738,0.6227429120605688,0.5073310444594655,0.5514662773773553,0.6084595345048615,0.6120062518899547,6815,1704
