tower_hidden_layers,fusion_hidden_layers,learning_rate,batch_size,val_mae_mean,val_mae_std,val_r2_mean,val_r2_std,test_mae_mean,test_mae_std,test_r2_mean,test_r2_std
"(256, 128)","(128, 64)",0.0001,32,0.8121265621713859,0.0036284349171753862,0.4454681745074606,0.0038951699950721956,0.7945966283940368,0.023749790385989754,0.47032143778040386,0.03074439591787265
"(256, 128)","(128, 64)",0.0001,64,0.8195021588047563,0.013532737015532103,0.4369528688192366,0.013129127976289418,0.7917589264250652,0.009013863326144114,0.4722262747333416,0.01406891947323303
"(256, 128)","(128, 64)",0.001,32,0.8301446948810854,0.008206462353048916,0.4301635464706255,0.008589596633654363,0.8202824138919612,0.001593245775157252,0.43604851646284554,0.009860165514612364
"(256, 128)","(128, 64)",0.001,64,0.8066613596609082,0.00027941246998602535,0.4520712157122923,0.0077905457314976926,0.8001663305207493,0.01427549935454217,0.4596580664966213,0.018503678686759954
"(256, 128)","(256, 128)",0.0001,32,0.7963049765488047,0.0031928538902256816,0.4576194349955947,0.006661265303536009,0.7770851200249728,0.0041581468666874195,0.4764755078745881,0.006943242487138977
"(256, 128)","(256, 128)",0.0001,64,0.7975540404347502,0.006249242000064335,0.4404471531228971,0.008604978701196348,0.7851869336770171,0.014582635791556055,0.4611362267025598,0.019849642527021025
"(256, 128)","(256, 128)",0.001,32,0.801931630523273,0.015528351980763893,0.4610312478760139,0.011780452034497383,0.8082540944391812,0.015548941216745564,0.453647453007674,0.004087660896772202
"(256, 128)","(256, 128)",0.001,64,0.7840043113024325,0.0243236057429368,0.47078674784769065,0.008387432248900744,0.7683634009152579,0.021247758606761286,0.4953931343271378,0.010440581324263115
"(256, 128)","(256, 128, 64)",0.0001,32,0.7911267584904605,0.016003717698347495,0.4679179704464211,0.012613816718092846,0.7741204047139633,0.012913331979083046,0.4902688616273876,0.012198083472992437
"(256, 128)","(256, 128, 64)",0.0001,64,0.7981017917474853,0.0024096352599212454,0.45557703956444245,0.010378583878388043,0.7760704572174802,0.013141816065127739,0.48217929633438494,0.002183256074776911
"(256, 128)","(256, 128, 64)",0.001,32,0.80917284487154,0.006095654688523702,0.43868962499478253,0.009978097016233254,0.8094607094784042,0.01081968107512825,0.4470110897267172,0.024680640874444302
"(256, 128)","(256, 128, 64)",0.001,64,0.7732184101935734,0.023414470667943475,0.47099413159607967,0.011833949383549834,0.7586906996354387,0.03800139212642114,0.48817598287168673,0.0293600754840603
"(512, 256)","(128, 64)",0.0001,32,0.798404883261561,0.00422475390979006,0.45235611064200026,0.006824809998716376,0.7737970498690517,0.0077974821084605475,0.4818089140486052,0.011785026534894548
