tower_hidden_layers,fusion_hidden_layers,learning_rate,batch_size,val_mae_mean,val_mae_std,val_r2_mean,val_r2_std,test_mae_mean,test_mae_std,test_r2_mean,test_r2_std
"(256, 128)","(128, 64)",0.0001,32,0.6880121954382545,0.0031009072926244784,0.4695221498680553,0.0034702878263065443,0.6981517268674723,0.0021800442334100577,0.45658270474154244,0.005854008866353653
"(256, 128)","(128, 64)",0.0001,64,0.7042325793313733,0.011614132824383882,0.4497942052804868,0.017001725596377658,0.7024198347881109,0.007865807868626914,0.45702616124118167,0.012012710829331157
"(256, 128)","(128, 64)",0.001,32,0.6906496000715322,0.012255222298698732,0.46465382208668576,0.007670743783298204,0.7007987261208855,0.0176241401262778,0.4588119747038301,0.01967302385965927
"(256, 128)","(128, 64)",0.001,64,0.6858580902746393,0.0009716767522715478,0.46743548389226525,0.004057490555889741,0.6903873143240239,0.0009674661776989402,0.46815838169819807,0.002535721229774869
"(256, 128)","(256, 128)",0.0001,32,0.6785154117331781,0.013697982972451795,0.47638352671859613,0.012420130928674042,0.6800781307204901,0.016858161643022798,0.4858747913206308,0.016834020753196264
"(256, 128)","(256, 128)",0.0001,64,0.676611185837046,0.005983701073926531,0.4774059378305913,0.003833946215889041,0.6894599682885927,0.009007296511985827,0.4689088997269623,0.013370189099270147
"(256, 128)","(256, 128)",0.001,32,0.6848218835454772,0.02106014615770739,0.4670084700486082,0.020150328178722223,0.6854773771774676,0.0029199805864675416,0.47713213490820766,0.004452011980478575
"(256, 128)","(256, 128)",0.001,64,0.6697078035821967,0.003648583702277326,0.48953943577534575,0.01148959205762031,0.6753960294897432,0.018387373753470198,0.48574640098663496,0.020093859839364764
"(256, 128)","(256, 128, 64)",0.0001,32,0.6876711053487138,0.00488446900775371,0.46671373737123095,0.00212392601775515,0.6881929333696973,0.016519359002646578,0.47964174047377234,0.02599222151083024
"(256, 128)","(256, 128, 64)",0.0001,64,0.6879538713333698,0.020180017065351732,0.464753023477515,0.027359047200161205,0.6937900069976561,0.012631772743522448,0.47095733801531764,0.024248715422040667
"(256, 128)","(256, 128, 64)",0.001,32,0.7024405407727111,0.005328342911183878,0.45662603293139786,0.004572069623108266,0.6990248965866154,0.016103191684429034,0.4605026838890492,0.014938182358420723
"(256, 128)","(256, 128, 64)",0.001,64,0.6698003755978429,0.006522065792561558,0.4824125657763601,0.011499340147946279,0.6772809136632247,0.0029132915986293142,0.48819757081930054,0.002057670348648664
"(512, 256)","(128, 64)",0.0001,32,0.6912697689703279,0.006186484648259786,0.45733015263541216,0.0034289627944490736,0.7004529808796413,0.009595549045573871,0.4485277625494066,0.005625388351259939
"(512, 256)","(128, 64)",0.0001,64,0.6881861576596728,0.007730688990137056,0.45571348446003745,0.006699648096747806,0.7046154749290392,0.007527026029643144,0.4494640162118449,0.019487249673958536
"(512, 256)","(128, 64)",0.001,32,0.6845016196234673,0.009070707131751652,0.4723894388460921,0.01781337356566784,0.6812767184456577,0.011692365110917228,0.4880979276346907,0.013601781456192863
"(512, 256)","(128, 64)",0.001,64,0.6798519905256811,0.008953683847040251,0.4676985224627927,0.00566377079458626,0.6772040109479907,0.008395272348200825,0.48161472655384213,0.014040565090965122
"(512, 256)","(256, 128)",0.0001,32,0.680931590807499,0.0017049201641269939,0.4732514445029958,0.009109144176069619,0.6771602629360016,0.004208280078573942,0.49026317129912084,0.013540447675410508
"(512, 256)","(256, 128)",0.0001,64,0.672566469705619,0.00872866898270136,0.481414427359286,0.015707370992281595,0.6844594908899159,0.011416274400826999,0.4740446123988115,0.01214461821027252
"(512, 256)","(256, 128)",0.001,32,0.6569478239638964,0.013526315992638425,0.5094332660684933,0.007893972567590066,0.6687822013353638,0.0046709401001949116,0.4918657442182695,0.00575706595118523
"(512, 256)","(256, 128)",0.001,64,0.6515038119226394,0.012745045117431911,0.5154108064159302,0.0065901577144216366,0.6619846789469265,0.017091856668382335,0.5108582494805215,0.023032665966953185
"(512, 256)","(256, 128, 64)",0.0001,32,0.6725585191220614,0.006611629048099477,0.487762977277119,0.009795825380640501,0.6730052286333784,0.01932532287177047,0.48704321406972273,0.02239998949713587
"(512, 256)","(256, 128, 64)",0.0001,64,0.6746560495802285,0.009022990096024402,0.4857060482506719,0.010588441763686344,0.6790423097636339,0.0030817308498683788,0.4839344578558646,0.002665975980917062
"(512, 256)","(256, 128, 64)",0.001,32,0.6602589179804537,0.00636878664308261,0.4993259771297449,0.005956396114683199,0.6622536625466966,0.01169024114350938,0.49854187784811527,0.02271048221540804
"(512, 256)","(256, 128, 64)",0.001,64,0.6583743464425537,0.020013386377048362,0.5057633641590833,0.016882233097308047,0.6734196054995465,0.017859169583547073,0.4952684674978341,0.029136994636347186
"(512, 256, 128)","(128, 64)",0.0001,32,0.699225213567057,0.0014848761500242615,0.4509637156724174,0.004969414234075621,0.7223566340717976,0.006647256454656705,0.42757133964386457,0.009184117994783345
"(512, 256, 128)","(128, 64)",0.0001,64,0.7117149679019544,0.007530656846947236,0.43305905406183615,0.012587719536669536,0.7186531315699067,0.004909526668422822,0.43260265571893397,0.00395621233287383
"(512, 256, 128)","(128, 64)",0.001,32,0.6956635431246391,0.007778097124949058,0.45474108394601326,0.010218799042874111,0.7079709573897942,0.0022516016528590604,0.4437188033058365,0.0014202562763051864
"(512, 256, 128)","(128, 64)",0.001,64,0.7015350798070402,0.009964213307869634,0.45171595614299664,0.017208349996214883,0.710909990895213,0.009787538520944196,0.44693784542023723,0.016848053086385522
"(512, 256, 128)","(256, 128)",0.0001,32,0.6931708213777341,0.004965372710509812,0.45479223895778836,0.0023258558409953076,0.6971965106132864,0.012519256101972116,0.46441752316614665,0.018735224321877013
"(512, 256, 128)","(256, 128)",0.0001,64,0.6903264619756712,0.010012665294179816,0.4644108435362531,0.011266680904326759,0.7028178844968247,0.010959889783915076,0.45986728393213094,0.014149695946953728
"(512, 256, 128)","(256, 128)",0.001,32,0.6950555495537656,0.013864011143901338,0.45558385027496007,0.01952496941175126,0.7008824806370756,0.004601399051055305,0.4584808911321157,0.0030159940405692105
"(512, 256, 128)","(256, 128)",0.001,64,0.6634849272730651,0.010904099348996945,0.49276042718279506,0.025277898647289885,0.6870351507018103,0.00619635884097182,0.4691964398196589,0.017068293662382016
"(512, 256, 128)","(256, 128, 64)",0.0001,32,0.7029140820285583,0.023903402431695166,0.44163916005100257,0.028951243453672986,0.7102287542759896,0.008081768957288172,0.43710070555904795,0.010814632110764198
"(512, 256, 128)","(256, 128, 64)",0.0001,64,0.6909927102860284,0.010349877279837529,0.4552765859965231,0.017271541392896758,0.7096240196705886,0.01618822208377532,0.4366511125072738,0.03956415870684132
"(512, 256, 128)","(256, 128, 64)",0.001,32,0.6925003057817932,0.008262696247954724,0.461409688184603,0.0046980564056106995,0.689463093147035,0.010119390106307946,0.46871404870955896,0.009846291127738464
"(512, 256, 128)","(256, 128, 64)",0.001,64,0.6831066437114127,0.009187364454656696,0.47000442545427984,0.014167090919128596,0.6857303270185163,0.006784790649776232,0.4779648631067721,0.01033534905595
